product_name,orderid,orderdate,status
MANIAC Printed Men Three Fourths,ORD10050,2025-03-07,delivered
"Rexmon Washing Machine, Refrigerator, Water Cooler, Air Cooler Material Plastic, Rubber  (7 cm x 7 cm)",ORD10051,2025-09-03,delivered
Dashny EXTRA SOFT HEEL Ortho Care Orthopaedic Comfort Slippers For Women & Girls Slippers  (Brown 5),ORD10052,2025-02-05,delivered
"Maped Sensoft 13 Cm Left Handed - assorted colors Scissors  (Set of 1, Multicolor)",ORD10053,2025-09-27,delivered
POPWINGS Casual Regular Sleeves Solid Women Black Top,ORD10054,2025-08-25,delivered
KANGAROO CL500 chain lube and cleaner with brush Chain Oil  (1000 ml),ORD10055,2025-07-07,delivered
APTITUDE 30 Kg PVC Home Gym set with Curl Rod & Accessories Gym & Fitness Kit,ORD10056,2025-11-09,delivered
"Buddsbuddy LOBO Powder Puff With Storage Case, 1pc, Pink  (Pink)",ORD10057,2025-05-28,shipped
MamaEarth Moisturizing Daily Lotion For Babies 400 ml + Gentle Cleansing Shampoo For Babies 400 ml  (White),ORD10058,2025-11-08,delivered
AG A BN Polyester Fibre Stripes Sleeping Pillow Pack of 2  (White),ORD10059,2025-10-03,delivered
"Oliveware Teso Lunch Box with Bottle (Blue-Pro) 4 Containers Lunch Box  (1470 ml, Thermoware)",ORD10060,2025-06-01,in-progress
NEXT TECH KM-609-2022 Grooming Kit 45 min  Runtime 4 Length Settings  (Multicolor),ORD10061,2025-09-10,in-progress
"Tarun child care Booties  (Toe to Heel Length - 12 cm, Blue, White)",ORD10062,2025-07-16,shipped
"Stylista PVC (Polyvinyl Chloride) Drawer Mat  (Multicolor, Printed, Extra Large)",ORD10063,2025-08-21,delivered
Sporto Pack of 2 Men Vest,ORD10064,2024-12-29,shipped
TopQore Windcheater Men Wind Cheater,ORD10065,2025-05-04,shipped
thermomate Pen Type portable PH meter Water Tester pH Testers,ORD10066,2025-05-27,in-progress
"Parachute Advansed Gold Coconut Hair Oil with Vitamin-E for Long, Strong & Gorgeous Hair Oil  (400 ml)",ORD10067,2025-10-23,in-progress
Chrome & Coral Colorblock Men Co-ords Track Suit,ORD10068,2025-06-06,shipped
"SAF Radha Krishna UV Textured Self Adeshive Digital Reprint 18 inch x 12 inch Painting  (Without Frame, Pack of 3)",ORD10069,2025-01-30,shipped
"FRESHWIND Cotton Collapsible Wardrobe  (Finish Color - MULTICOLOUR, DIY(Do-It-Yourself))",ORD10070,2025-08-20,delivered
Star X Kiddo Badminton Racket Kit for Kids with 2 Corks and Cover (Badminton for Kids) Badminton Kit,ORD10071,2025-10-20,shipped
"Syska 9 W Standard B22 LED Bulb  (White, Pack of 10)",ORD10072,2025-03-03,shipped
VastraMilap Baby Boys & Baby Girls Bloomer,ORD10073,2025-09-04,delivered
"Flipkart SmartBuy Premium Square Containers Lunch Box With bag for School, Office & College 6 Containers Lunch Box  (2400 ml)",ORD10074,2024-12-25,in-progress
Barcelona Men Solid Bomber Jacket,ORD10075,2025-06-29,delivered
"Trixzoom Solid Ultimate Pastel Rose Gold Happy Birthday Decoration Set - 119 Pcs Kit - Rosegold Happy Birthday, Pastel & Metallic Balloons, Heart Shape Balloons, Tassels, Pump & LED Lights Balloon Bouquet  (Multicolor, Pack of 119)",ORD10076,2025-02-06,in-progress
Shapefine Shiva Mahadev Adiyogi Smoke Fountain with 10 Backflow Cones Polyresin Incense Holder Set  (Black),ORD10077,2025-07-06,in-progress
Titan NP2598SM04 Analog Watch  - For Women,ORD10078,2025-09-25,shipped
"Rich Club Gradient Wayfarer Sunglasses (52)  (For Boys & Girls, Black)",ORD10079,2024-12-08,delivered
LIKE STYLE Black Women Shoulder Bag - Extra Large  (Pack of 3),ORD10080,2024-12-14,shipped
"Flipkart Perfect Homes Opus Engineered Wood King Box Bed  (Finish Color - Espresso, Delivery Condition - Knock Down)",ORD10081,2025-01-19,in-progress
"Flipkart SmartBuy 10W Fast Charger combo Compatible with Vivo,Oppo,Gionee,Xiomi,Redmi,realme,infinix,POCO,iphone,Samsung,Mi devices (MicroUSB - Cable Included)  (White, Cable Included)",ORD10082,2025-02-02,shipped
Picktoes Boots For Women  (Black),ORD10083,2025-06-26,in-progress
"KANISHKA CREATIONS Kids beautiful, Comfortable and attractive foldable Table & Chair set Metal Desk Chair  (Finish Color - BLUE, DIY(Do-It-Yourself))",ORD10084,2025-02-20,delivered
"zebion Z70+ with 3 year warranty Wired Optical Mouse  (USB 2.0, Black)",ORD10085,2025-02-16,delivered
"karodiya Women Color Block Round Neck White, Black T-Shirt",ORD10086,2025-09-08,delivered
hmte HM-6742 Day&Date Series Analog Watch  - For Women,ORD10087,2025-09-19,shipped
Kemei KM-329 Km-329 Hair Straightener  (Grey),ORD10088,2025-08-10,shipped
HAROON i12 Pro 100% Original Bluetooth Earbuds (Yellow) Smart Headphones  (Wireless),ORD10089,2025-09-15,in-progress
World Wear Footwear Stylish Casual Walking Comfortable Sports Running Shoes For Men  (Blue),ORD10090,2025-11-06,shipped
"GULJAR FASHION Women Printed, Solid Viscose Rayon Anarkali Kurta  (Pink, Black)",ORD10091,2025-11-08,delivered
"earthen fine crafts men cotton double dhoti white, silver border (3.8 meter) Solid Men Dhoti",ORD10092,2025-03-21,shipped
NIVIA Solid Men Track Suit,ORD10093,2024-12-24,shipped
"Urbanic Cut Out Tankinis Striped Women Bikini Blue, White Swimsuit",ORD10094,2025-01-03,shipped
Yana Bra & Panty Set Solid Multicolor Lingerie Set,ORD10095,2025-04-06,delivered
Wincey Large 35 L Backpack SHINCHAN_HD_Casual Backpack|School Bag 35L|College Bag Backpack (Blue)  (Multicolor),ORD10096,2025-04-10,delivered
Dee Fit High quality PVC 10kg Hexa Dumbbell each dumbbell is 5+5kg Fixed Weight Dumbbell  (10 kg),ORD10097,2025-10-10,shipped
BRUTON Combo Pack Of 2 Latest Stylish Casual Shoes for Men Lace up lightweight Multicolor BRUTON Sport Star shoes Casuals For Men Sneakers For Men  (Multicolor),ORD10098,2025-10-04,shipped
"US DZIRE ™ 401 Hanging lamp electric antique Wooden Ceiling Lights(With Gold Bulb) Pendants Ceiling Lamp  (Beige, Yellow)",ORD10099,2025-08-12,in-progress
TOXBEERY Bra & Panty Set Solid Multicolor Lingerie Set,ORD10100,2025-03-09,in-progress
"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner Set  (Steel, Microwave Safe)",ORD10101,2025-07-07,delivered
kipek Casual Regular Sleeves Floral Print Women Maroon Top,ORD10102,2025-07-19,shipped
"Znetly Multipurpose Uses Home Kitchen Bathroom Office Soap Dish  (Green, Grey)",ORD10103,2025-03-05,delivered
Breil By Fort Collins Women Solid Parka Jacket,ORD10104,2024-11-23,in-progress
L'Oréal Paris Casting Creme Gloss Hair Color  (4 Items in the set),ORD10105,2025-01-21,delivered
"UDR CLOTHING Bra & Panty Set Solid Blue, Green, Pink Lingerie Set",ORD10106,2025-06-19,delivered
Sukkhi Sparkling Gold Plated Cz Solitaire Mangalsutra Combo Pack Of 3 Alloy Mangalsutra,ORD10107,2025-07-08,shipped
"Sh.Huda 12 pc set Liquid matte lipstick  (Multicolor, 60 ml)",ORD10108,2025-08-23,in-progress
"BASIK Lyra 1200 Stainless Steel Insulated Flask with Wide Spout, Black & Silver 1100 ml Flask  (Pack of 1, Black, Steel)",ORD10109,2025-09-22,in-progress
"Swarambh Non-Stick 12 Cavity Aluminium Appam Patra Ponganal Maker Paniarakkal Litti Maker Appe Pan with Lid Appam Patra Non Stick with Lid Panniyarkal Non Stick Pan Paniarakkal with Lid 0.5 L capacity 17 cm diameter  (Aluminium, Non-stick)",ORD10110,2025-11-06,delivered
MamyPoko Extra Absorb - XXL  (52 Pieces),ORD10111,2025-04-04,in-progress
CONTACTS 2 Pcs Brown Braided Keychain Leather Strap Keyring PU Rope Hook Key Chain,ORD10112,2025-06-09,delivered
VICTORY Wrap Gym & Fitness Gloves  (Grey),ORD10113,2025-02-12,shipped
Fashion revolver Women Relaxed White Viscose Rayon Trousers,ORD10114,2025-06-29,delivered
"Party Propz 1st Birthday Decorations Kit For Baby Boy - Kids Birthday Decoration, Pack Of 60  (Set of 60)",ORD10115,2025-09-06,delivered
THE MAN COMPANY Non-Gas Body Perfume For Men - Blanc (120 Ml) | No Gas Deodorant | Long Lasting Fragrance | Body Spray For Men Deodorant Spray  -  For Men  (120 ml),ORD10116,2025-05-16,delivered
"Runixx RX-0036|Dj Music|1500 Mah||Bass Boost|Support Phone Call| Dual Horn Speaker 15 W Bluetooth Party Speaker  (Red, Stereo Channel)",ORD10117,2025-06-21,shipped
Lakmé Absolute Infinity Eye Shadow Palette 12 g  (Midnight Magic),ORD10118,2025-02-08,delivered
Studio rasa Regular Fit Printed Women Dhoti,ORD10119,2025-11-09,shipped
"Jeetna Hai to Jid Karo  - Jeetna hain to jid karo Second edition 2 Edition  (Hindi, Paperback, Hundiwalan S.)",ORD10120,2025-07-22,in-progress
Volo 3 Compartments STEEL BOOK ORGANIZER  (Pink),ORD10121,2025-03-24,in-progress
"METRONAUT Men Casual, Evening, Formal, Party Brown Genuine Leather Belt",ORD10122,2025-06-11,delivered
"KartV Back Cover for Mi Redmi Note 9, Redmi Note 9  (Black, Gold, Camera Bump Protector, Silicon, Pack of: 1)",ORD10123,2025-05-10,shipped
"Growing Decorishing 250 TC Cotton Double Floral Flat Bedsheet  (Pack of 1, Black)",ORD10124,2025-10-06,delivered
HKC HOUSE Doll House Tent  (Pink),ORD10125,2025-11-06,in-progress
"Hoteon Roller Skates Age Group 7-12 Years Unisex , Adjustable Inline Skating Shoes Quad Roller Skates - Size 4 TO 8 UK  (Multicolor)",ORD10126,2025-10-29,in-progress
Navy Sport Men Solid Mid-Calf/Crew  (Pack of 3),ORD10127,2025-06-18,shipped
"Fasla Baby Boys Printed Pure Cotton T Shirt  (Multicolor, Pack of 4)",ORD10128,2025-02-08,delivered
Greatwell Green Foldable Soft Cotton 3 inch Single Cotton Mattress  (L x W: 37 inch x 73 inch),ORD10129,2025-07-18,delivered
"Enter USB Game pad/ Game Controller / with Vibration E-GPV USB  Gamepad  (Black, For PC, PS2, PS3, Windows 10)",ORD10130,2025-08-15,in-progress
"Fitastic Stainless steel Shaker Bottle With Steel Mixing Ball(NO Excuses) 740 ml Shaker  (Pack of 1, Steel/Chrome, Steel)",ORD10131,2025-09-05,in-progress
NIVEA Soft Moisturizing Cream for all skin types  (300 ml),ORD10132,2025-07-18,in-progress
RUPA Pack of 5 Women Hipster Multicolor Panty,ORD10133,2025-02-25,shipped
CASIO FX-991ESPLUS2PK Scientific  Calculator  (12 Digit),ORD10134,2025-04-24,delivered
"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. Balloon  (White, Pink, Pack of 48)",ORD10135,2025-02-04,in-progress
"Shorty Palla Print Boys & Girls, Baby Boys & Baby Girls Bloomer",ORD10136,2025-04-12,in-progress
"Muskan Collection Baby Girls Short/Mid Thigh Casual Dress  (Multicolor, Full Sleeve)",ORD10137,2025-03-03,in-progress
"Marklif Gorilla Tripod/Mini Tripod 13 inch for Mobile Phone with Holder for Mobile, Flexible Gorilla Stand for DSLR & Action Cameras Tripod Kit  (Black, White, Supports Up to 2000 g)",ORD10138,2025-06-03,shipped
Lyra Pack of 4 Women Hipster Multicolor Panty,ORD10139,2025-01-20,in-progress
"reason Bingo 502 With TWS 10W With 10 Hrs Battery Backup,TF CARD,FM REDIO 10 W Bluetooth Soundbar  (Black, Stereo Channel)",ORD10140,2025-01-23,delivered
"Young trendz Pack of 2 Women Solid Round Neck Black, Pink T-Shirt",ORD10141,2025-05-25,in-progress
"CRADIAC DISCOVER PRO 7 SPD BLUE 700C T Hybrid Cycle/City Bike  (7 Gear, Black)",ORD10142,2025-03-22,in-progress
Flipkart SmartBuy Imperio 4 Burners Glass Manual Gas Stove  (4 Burners),ORD10143,2025-06-30,shipped
KILLER Men Skinny Mid Rise Blue Jeans,ORD10144,2025-06-22,in-progress
"Esquire Plastic Coffee Table  (Finish Color - BLACK, DIY(Do-It-Yourself))",ORD10145,2025-06-27,shipped
"MILTON Premium Manual Ignition LPG Stove - (ISI Certified, Door Step Service) Red Glass Manual Gas Stove  (3 Burners)",ORD10146,2024-12-04,delivered
LiL Goodness Prebiotic Milk Chocolate - 13g (Pack of 20) Bars  (20 x 13 g),ORD10147,2025-01-17,shipped
"MUSCLEBLAZE Beginner's Whey Protein, No Added Sugar Whey Protein  (1 kg, Cookies and Cream)",ORD10148,2025-04-24,shipped
rahul Uplight Wall Lamp Without Bulb,ORD10149,2025-07-14,delivered
"Amirtha Fashion Boys Festive & Party Dhoti, Shawl and Shirt Set  (Maroon Pack of 1)",ORD10150,2025-10-13,shipped
HSR Women Shapewear,ORD10151,2025-11-07,in-progress
"Krors Mens Stylish, Partywear, Casual Shoes, Loafers Loafers For Men  (Brown)",ORD10152,2025-08-28,delivered
XYXX Pack of 2 IntelliSoft Tencel Modal Uno Solid Men Trunk,ORD10153,2025-10-04,shipped
"Miss & Chief by Flipkart 2 in 1 Infrared Induction Helicopter, Sensor Aircraft with USB Charger ,Flying Helicopter with Remote, 6 to 14 Years  (Blue)",ORD10154,2025-07-12,shipped
GIVA Sterling Silver Wide Band Ring for mens Sterling Silver Rhodium Plated Ring,ORD10155,2025-02-14,shipped
CROCS Men Bayaband Clog Navy Clogs Sandal,ORD10156,2025-04-14,in-progress
"Solomon ™ Premium Quality 2 Layer Bathroom Shower Shelve Hanging Shower Caddy Rack For Shampoo | Conditioner | Soap | Body Wash | Plastic Wall Shelf | Shelve Plastic Wall Shelf Plastic Wall Shelf  (Number of Shelves - 2, White)",ORD10157,2025-07-09,in-progress
"R.k Packers Plastic Chair  (Finish Color - orange, Pre-assembled)",ORD10158,2024-11-26,in-progress
Allen Solly Boys Solid Casual Jacket,ORD10159,2025-07-27,delivered
Bold Care Ultra Thin Strawberry Flavored Condoms |10 Units | Real Feel Condom  (10 Sheets),ORD10160,2025-05-18,delivered
CROCS Men Bayaband Clog Sgy/Lip Grey Clogs Sandal,ORD10161,2025-01-16,shipped
farukhi creation Solid Women Dhoti,ORD10162,2025-07-08,shipped
HRX by Hrithik Roshan Solid Women Black Tights,ORD10163,2025-01-01,shipped
"Cycle Om Shanthi Naivedya Sambrani with Resin, Benzoin Fragrance - Pack Of 4  (12, Set of 4)",ORD10164,2025-04-11,delivered
"Trevi Kyoto Engineered Wood Queen Bed  (Finish Color - Dark Maple, Delivery Condition - Knock Down)",ORD10165,2025-07-02,in-progress
TIARA Women Multicolor Tote - Extra Spacious,ORD10166,2025-03-26,delivered
Kamiliant by American Tourister Medium Check-in Suitcase (68 cm) - Kam Triprism Sp - Red,ORD10167,2025-02-16,delivered
BANQLYN High Quality Kitchen Towel Soft Hand Towel kitchen towel hand towel Multicolor Cloth Napkins  (4 Sheets),ORD10168,2025-10-25,delivered
Doublemint Chewymints Tube Peppermint Mouth Freshener  (8 x 33.6 g),ORD10169,2025-05-21,shipped
Newba Solid Women Bikini Black Swimsuit,ORD10170,2025-05-18,delivered
"SAF MODERN ART SET OF 3 HEXAGON UV COATED DIGITAL REPRINT PAINTING Digital Reprint 17 inch x 17 inch Painting  (Without Frame, Pack of 3)",ORD10171,2025-07-15,shipped
Shopaholic Camping Tent - For 2 Persons  (Multicolor),ORD10172,2025-03-17,delivered
ABH Lifestyle Men Pyjama,ORD10173,2025-06-14,delivered
"Cyphon Virtual Reality 3D Video Glasses VR Headset White Color  (Smart Glasses, WHITE)",ORD10174,2025-07-30,shipped
VastraMilap Boys & Girls Bloomer,ORD10175,2025-03-18,in-progress
FUBAR Men Slim Fit Cream Cotton Blend Trousers,ORD10176,2025-09-11,in-progress
wishmechstore T2 PRO Bluetooth Earbuds in-Ear True Wireless Earbuds with Power Bank function Smart Headphones  (Wireless),ORD10177,2025-08-16,in-progress
good 1 Women Beige Flats Sandal,ORD10178,2025-05-01,in-progress
Syska HT200U Trimmer 40 min  Runtime 5 Length Settings  (Black),ORD10179,2025-09-07,in-progress
"MKADE ID 116  (Black Strap, Size : Free Size)",ORD10180,2025-08-20,shipped
Fortex Solid Men Boxer,ORD10181,2025-07-31,shipped
"preet gehna Vest For Girls Cotton Blend  (Multicolor, Pack of 6)",ORD10182,2025-10-02,delivered
Pigeon LIQUID CLEANSER REFILL COMBO  (400 ml),ORD10183,2025-04-10,shipped
EL FIGO Cute Little Teddy Boy Toy in Printed Dress (Doll for Kids) Moveable Hands & Legs  (Yellow),ORD10184,2025-09-26,shipped
ZCRAFT Medium 25 L Backpack DAYPACK Bags Backpack for daily use library office outdoor hiking  (Red),ORD10185,2024-12-29,delivered
"Esquire Plastic Coffee Table  (Finish Color - Brown, DIY(Do-It-Yourself))",ORD10186,2025-07-19,in-progress
"SAF Tribal 6MM MDF Framed set of 3 Digital Reprint 15 inch x 18 inch Painting  (With Frame, Pack of 3)",ORD10187,2025-11-01,delivered
pandurang Fab Embroidered Semi Stitched Lehenga Choli  (Purple),ORD10188,2025-09-24,in-progress
"IRIS Unstitched Crepe Salwar Suit Material Floral Print, Printed, Geometric Print",ORD10189,2025-11-08,in-progress
Paragon Women Purple Wedges Sandal,ORD10190,2025-08-21,delivered
MYKI Sterling Silver Sterling Silver Bracelet,ORD10191,2025-11-04,in-progress
"SAF MODERN ART SET OF 3 HEXAGON UV COATED DIGITAL REPRINT PAINTING Digital Reprint 17 inch x 17 inch Painting  (Without Frame, Pack of 3)",ORD10192,2025-07-20,in-progress
"OnePlus Band  (Black Strap, Size : Regular)",ORD10193,2024-12-16,in-progress
"zikrefast stylish tuff quality college school casual bag boys & girls 22 L Laptop Backpack & watch Waterproof Backpack (black , 30 L) combo pack(1 1watch & 1sunglasses & 1 cap) Waterproof Backpack  (Black, 30 L)",ORD10194,2025-11-05,delivered
"Vintage Colour Woven Pure Silk Stitched Flared/A-line Gown  (White, Green)",ORD10195,2025-11-01,in-progress
METRONAUT Full Rim Wayfarer Frame For Men  (53 mm),ORD10196,2025-03-30,delivered
"iTronix Magnetic Charging Cable 0.5 m Charger for DIZO Watch 2 / Watch 2 Sports / Watch S |  (Compatible with DIZO Watch 2 / Watch 2 Sports / Watch S, Black, One Cable)",ORD10197,2025-01-10,delivered
Canon EF 50 mm f/1.4 USM   Lens  (Black),ORD10198,2025-02-04,delivered
Bella vita organic Luxury Unisex Perfume Gift Set For Men & Women- 4x20 ML Eau de Parfum  -  80 ml  (For Men & Women),ORD10199,2025-10-20,delivered
,ORD10200,2025-02-24,in-progress
"Fastrack UV Protection Aviator Sunglasses (Free Size)  (For Men, Green)",ORD10201,2024-12-18,delivered
"Webilla Bluetooth Audio Player, Connectivity Sunglasses  (Smart Glasses, Black)",ORD10202,2025-06-30,in-progress
Toss 2023 B5 Diary YES 165 Pages  (Multicolor),ORD10203,2025-07-17,in-progress
FEEL TRACK Printed Men Three Fourths,ORD10204,2025-06-14,delivered
Gillette Venus Snap Hair Remover|Women Body Razor|Compact case|Soap gel bar with avocado,ORD10205,2024-11-23,in-progress
AARYA COLLECTION Women Shapewear,ORD10206,2024-11-30,in-progress
Strauss TPE Eco-Friendly Dual Layer Yoga Mat for Men & Women with Carry Bag Pink 6 mm Yoga Mat,ORD10207,2025-04-26,in-progress
"Phy Apple Cider Vinegar Shampoo | Complete Hair Health | Improves Scalp & Hair Health | No Sulphates, Parabens, Silicones | For All Hair Types  (200 ml)",ORD10208,2025-03-29,delivered
WALKAROO Sling Back Strappy Sandals For Boys  (Blue),ORD10209,2025-06-18,in-progress
"Mivi Fort S24 Soundbar with FM Mode and 2 full range drivers, Made in India 24 W Bluetooth Soundbar  (Black, 2.0 Channel)",ORD10210,2025-11-17,shipped
Afronaut Women Checkered Dark Blue Track Pants,ORD10211,2024-12-20,delivered
Fastrack 38024PP24 Minimalists Analog Watch  - For Men,ORD10212,2025-02-15,in-progress
AASK Women Pleated Red Dress,ORD10213,2025-03-13,delivered
Genius Box 5 in 1 Learning Kit for Children Age 8+ : Tinkering Lab Educational Activity Kit  (Multicolor),ORD10214,2025-08-11,delivered
"BERSACHE Formal Shoes, Slip On Office Shoe, Wedding Shoe, Party Shoe, Trendy Shoe, Lace Up Shoe, Derby Shoe, New Look Leather Shoe, Top Rated, Best Rates,Light Weight Comfortable Shoe For Men'S/Boy'S Slip On For Men  (Black)",ORD10215,2025-07-03,shipped
"AVIGNA 222 Without Bulb Adjustable (Elegant Blue) Table Lamp  (30 cm, Blue)",ORD10216,2025-10-12,shipped
