product_id,name,category,cost,rating,review,image_path
25,Blue Router Deluxe,Automotive,870.49,3.7,"Beautiful print, true to size. Highly recommended.",E_commerce/data/images/blue_router_deluxe.jpg
26,Essential Brown Pen,Beauty,125.73,2.6,"Good value. Battery lasts all day, sleek design.",E_commerce/data/images/essential_brown_pen.jpg
27,Smart White SSD,Toys,162.96,3.7,"Even cooking, easy cleanup. Works well.",E_commerce/data/images/smart_white_ssd.jpg
28,Neoprene Nail Clippers Rugged,Home & Garden,100.99,4.5,"Good value. Even cooking, easy cleanup.",E_commerce/data/images/neoprene_nail_clippers_rugged.jpg
29,Modern Yellow Cookbook,Gaming,760.67,4.3,"Good value. Battery lasts all day, sleek design.",E_commerce/data/images/modern_yellow_cookbook.jpg
30,Sofa Lite S17,Automotive,864.96,4.3,Stylish and holds water well. Works well.,E_commerce/data/images/sofa_lite_s17.jpg
31,Silicone Lantern Wireless,Sports,487.35,4.3,Durable and easy to use in the garden. Works well.,E_commerce/data/images/silicone_lantern_wireless.jpg
32,Purple Blender Rugged,Garden,328.23,4.6,"Amazing sound quality, worth every penny! Would buy again.",E_commerce/data/images/purple_blender_rugged.jpg
33,Comfort Red Camera,Beauty,55.77,3.9,Blocks out all noise effectively.,E_commerce/data/images/comfort_red_camera.jpg
34,Synthetic Router Vintage,Kitchen,378.82,4.7,Kept me up all night reading. Works well.,E_commerce/data/images/synthetic_router_vintage.jpg
35,Performance Red Novel,Health,180.61,3.4,Gripping story from start to finish.,E_commerce/data/images/performance_red_novel.jpg
36,Cotton Stand Lite,Home & Garden,408.01,3.7,"Even cooking, easy cleanup. Would buy again.",E_commerce/data/images/cotton_stand_lite.jpg
37,Eco Grill - Silver Edition,Health,135.0,3.7,"Comfortable fit, but color fades after wash.",E_commerce/data/images/eco_grill_silver_edition.jpg
38,Silver Brush Travel,Clothing,414.51,3.3,"Secure fit, lightweight. Highly recommended.",E_commerce/data/images/silver_brush_travel.jpg
39,Lite Silver Brush,Garden,394.77,4.0,Gripping story from start to finish. Highly recommended.,E_commerce/data/images/lite_silver_brush.jpg
40,Pink Air Fryer Mini,Electronics,334.23,4.4,"Powerful motor, mixes everything smoothly. Would buy again.",E_commerce/data/images/pink_air_fryer_mini.jpg
41,Comfort Mouse - White Edition,Office,275.68,4.1,"Good value. Even cooking, easy cleanup.",E_commerce/data/images/comfort_mouse_white_edition.jpg
42,Mat Performance V5,Outdoors,66.21,4.4,"Even cooking, easy cleanup. Highly recommended.",E_commerce/data/images/mat_performance_v5.jpg
43,Watch Urban S38,Automotive,537.1,4.5,Loud and clear audio. Highly recommended.,E_commerce/data/images/watch_urban_s38.jpg
44,Travel Brown Monitor,Books,54.19,4.3,Durable and easy to use in the garden.,E_commerce/data/images/travel_brown_monitor.jpg
45,Polyester Speaker Deluxe,Outdoors,213.79,3.7,"Non-slip surface, excellent for yoga. Would buy again.",E_commerce/data/images/polyester_speaker_deluxe.jpg
46,Rugged Router - Blue Edition,Kitchen,90.44,4.5,Durable and easy to use in the garden. Would buy again.,E_commerce/data/images/rugged_router_blue_edition.jpg
47,Smart Air Fryer - Purple Edition,Electronics,525.68,3.4,"Comfortable fit, but color fades after wash.",E_commerce/data/images/smart_air_fryer_purple_edition.jpg
48,Bamboo Jeans Mini,Office,89.18,3.6,Inspirational and practical advice.,E_commerce/data/images/bamboo_jeans_mini.jpg
49,Jacket Lite X38,Sports,116.64,3.2,"Comfortable fit, but color fades after wash. Works well.",E_commerce/data/images/jacket_lite_x38.jpg
50,Eco Board Game - Yellow Edition,Home & Garden,109.64,4.4,"Powerful motor, mixes everything smoothly. Highly recommended.",E_commerce/data/images/eco_board_game_yellow_edition.jpg
51,Grey Brush Compact,Books,417.46,3.9,Recipes are simple and delicious. Highly recommended.,E_commerce/data/images/grey_brush_compact.jpg
52,Silicone Pen Deluxe,Clothing,340.46,3.8,Inspirational and practical advice. Works well.,E_commerce/data/images/silicone_pen_deluxe.jpg
53,Lamp Max V7,Clothing,373.83,4.1,"Well-balanced, good control. Would buy again.",E_commerce/data/images/lamp_max_v7.jpg
54,Travel White Notebook,Sports,283.96,4.8,"Perfect length, material is soft. Works well.",E_commerce/data/images/travel_white_notebook.jpg
55,Wooden Charger Lite,Toys,106.35,4.1,"Non-slip surface, excellent for yoga. Would buy again.",E_commerce/data/images/wooden_charger_lite.jpg
56,Lens Deluxe S12,Electronics,476.83,3.3,"Non-slip surface, excellent for yoga. Works well.",E_commerce/data/images/lens_deluxe_s12.jpg
57,Mini Monitor Series 429,Home & Garden,411.86,4.1,"Battery lasts all day, sleek design.",E_commerce/data/images/mini_monitor_series_429.jpg
58,Nylon Watch Performance,Books,151.09,3.5,Good value. Gripping story from start to finish.,E_commerce/data/images/nylon_watch_performance.jpg
59,Rugged Power Bank Series 813,Toys,56.36,4.9,Good value. Durable and easy to use in the garden.,E_commerce/data/images/rugged_power_bank_series_813.jpg
60,Compact Sneakers Series 670,Home & Garden,97.34,3.9,Inspirational and practical advice. Would buy again.,E_commerce/data/images/compact_sneakers_series_670.jpg
61,Advanced Drone Series 616,Beauty,180.47,4.3,Stylish and holds water well. Highly recommended.,E_commerce/data/images/advanced_drone_series_616.jpg
62,Silver Board Game Rugged,Garden,172.01,3.4,Stylish and holds water well. Works well.,E_commerce/data/images/silver_board_game_rugged.jpg
63,Black Racket Vintage,Beauty,144.22,3.0,Good value. Inspirational and practical advice.,E_commerce/data/images/black_racket_vintage.jpg
64,Pro Gold Grill,Toys,172.78,4.2,"Amazing sound quality, worth every penny. Works well.",E_commerce/data/images/pro_gold_grill.jpg
65,Orange Controller Travel,Books,269.7,3.5,Kept me up all night reading. Works well.,E_commerce/data/images/orange_controller_travel.jpg
66,Travel Gold Lantern,Office,454.4,4.1,Good value. Gripping story from start to finish.,E_commerce/data/images/travel_gold_lantern.jpg
67,Advanced Notebook Series 488,Electronics,295.13,4.3,"Powerful motor, mixes everything smoothly. Works well.",E_commerce/data/images/advanced_notebook_series_488.jpg
68,Blue Controller Lite,Garden,393.59,4.8,"Amazing sound quality, worth every penny! Highly recommended.",E_commerce/data/images/blue_controller_lite.jpg
69,Classic Black Novel,Home & Garden,347.1,3.0,"Beautiful print, true to size. Highly recommended.",E_commerce/data/images/classic_black_novel.jpg
70,Mascot Urban X7,Automotive,54.91,3.3,Good value. Kept me up all night reading!,E_commerce/data/images/mascot_urban_x7.jpg
71,Deluxe Purple HDD,Pet Supplies,210.67,3.2,Durable and easy to use in the garden. Would buy again.,E_commerce/data/images/deluxe_purple_hdd.jpg
72,Tent Pro X5,Kitchen,460.33,3.1,Blocks out all noise effectively.,E_commerce/data/images/tent_pro_x5.jpg
73,Racket Essential V47,Toys,193.44,2.6,Good value. Inspirational and practical advice.,E_commerce/data/images/racket_essential_v47.jpg
74,Nylon Charger Mini,Health,265.67,3.3,"Good value. Well-balanced, good control.",E_commerce/data/images/nylon_charger_mini.jpg
75,Neoprene Charger Classic,Beauty,161.59,2.5,Stylish and holds water well. Would buy again.,E_commerce/data/images/neoprene_charger_classic.jpg
76,Novel Performance X32,Clothing,503.27,4.4,Good value. Blocks out all noise effectively.,E_commerce/data/images/novel_performance_x32.jpg
77,Leather Cookbook Classic,Kitchen,471.49,3.7,"Good value. Beautiful print, true to size.",E_commerce/data/images/leather_cookbook_classic.jpg
78,Wooden HDD Vintage,Pet Supplies,73.01,4.1,Inspirational and practical advice. Highly recommended.,E_commerce/data/images/wooden_hdd_vintage.jpg
79,Neoprene Drone Deluxe,Home & Garden,588.7,4.5,"Beautiful print, true to size. Highly recommended.",E_commerce/data/images/neoprene_drone_deluxe.jpg
80,Polyester Pen Classic,Books,363.84,3.9,"Even cooking, easy cleanup. Works well.",E_commerce/data/images/polyester_pen_classic.jpg
81,Comfort Yellow Mixers,Health,248.41,3.7,"Comfortable fit, but color fades after wash. Highly recommended.",E_commerce/data/images/comfort_yellow_mixers.jpg
82,Modern Novel Series 221,Electronics,504.74,4.3,Good value. Keeps me warm in winter.,E_commerce/data/images/modern_novel_series_221.jpg
83,Lamp Advanced X37,Health,27.47,4.5,Stylish and holds water well.,E_commerce/data/images/lamp_advanced_x37.jpg
84,Eco Sandals Series 260,Electronics,567.03,3.9,"Non-slip surface, excellent for yoga. Works well.",E_commerce/data/images/eco_sandals_series_260.jpg
85,Advanced Cookbook - Brown Edition,Pet Supplies,242.15,3.4,Recipes are simple and delicious. Highly recommended.,E_commerce/data/images/advanced_cookbook_brown_edition.jpg
86,Smart Sneakers - Red Edition,Gaming,827.76,4.7,"Secure fit, lightweight. Works well.",E_commerce/data/images/smart_sneakers_red_edition.jpg
87,Mug Travel X6,Pet Supplies,16.76,3.7,Stylish and holds water well.,E_commerce/data/images/mug_travel_x6.jpg
88,T-Shirt Eco S18,Sports,68.1,4.3,"Secure fit, lightweight. Works well.",E_commerce/data/images/t_shirt_eco_s18.jpg
89,Silicone Mascot Modern,Electronics,356.26,3.7,"Battery lasts all day, sleek design. Works well.",E_commerce/data/images/silicone_mascot_modern.jpg
90,Comfort Vacuum Series 933,Toys,26.73,3.5,Kept me up all night reading! Would buy again.,E_commerce/data/images/comfort_vacuum_series_933.jpg
91,Polyester Grill Classic,Garden,377.35,4.0,"Comfortable fit, but color fades after wash. Highly recommended.",E_commerce/data/images/polyester_grill_classic.jpg
92,Vintage Green Sleeping Bag,Books,487.92,4.1,"Battery lasts all day, sleek design. Works well.",E_commerce/data/images/vintage_green_sleeping_bag.jpg
93,Classic Grey Watch,Outdoors,460.44,3.1,"Good value. Powerful motor, mixes everything smoothly.",E_commerce/data/images/classic_grey_watch.jpg
94,Racket Eco V39,Health,226.42,3.0,Stylish and holds water well.,E_commerce/data/images/racket_eco_v39.jpg
95,Router Wireless V29,Books,267.95,3.3,Good value. Kept me up all night reading!,E_commerce/data/images/router_wireless_v29.jpg
96,Premium Novel Series 685,Gaming,62.77,4.8,Good value. Kept me up all night reading!,E_commerce/data/images/premium_novel_series_685.jpg
97,Synthetic Jacket Rugged,Office,436.15,4.5,Good value. Keeps me warm in winter.,E_commerce/data/images/synthetic_jacket_rugged.jpg
98,Silicone Monitor Ultra,Clothing,335.42,4.4,Loud and clear audio. Would buy again.,E_commerce/data/images/silicone_monitor_ultra.jpg
99,Gold Mug Premium,Toys,129.92,4.2,Durable and easy to use in the garden.,E_commerce/data/images/gold_mug_premium.jpg
100,Bamboo Jacket Compact,Health,118.7,3.0,"Even cooking, easy cleanup. Highly recommended.",E_commerce/data/images/bamboo_jacket_compact.jpg
101,Purple Brush Compact,Electronics,423.25,4.0,Good value. Stylish and holds water well.,E_commerce/data/images/purple_brush_compact.jpg
102,Classic SSD Series 659,Books,475.36,3.9,Good value. Kept me up all night reading!,E_commerce/data/images/classic_ssd_series_659.jpg
103,Silicone Webcam Eco,Sports,59.87,4.4,"Amazing sound quality, worth every penny! Would buy again.",E_commerce/data/images/silicone_webcam_eco.jpg
104,Beige Gloves Pro,Garden,368.17,3.6,"Well-balanced, good control. Works well.",E_commerce/data/images/beige_gloves_pro.jpg
105,Ultra Brown Monitor,Office,293.99,4.1,"Non-slip surface, excellent for yoga. Works well.",E_commerce/data/images/ultra_brown_monitor.jpg
106,Speaker Mini S24,Pet Supplies,153.03,3.5,Blocks out all noise effectively. Works well.,E_commerce/data/images/speaker_mini_s24.jpg
107,Premium Sandals - Pink Edition,Pet Supplies,203.95,3.1,Inspirational and practical advice. Works well.,E_commerce/data/images/premium_sandals_pink_edition.jpg
108,Travel Mug - Green Edition,Sports,387.06,3.4,"Beautiful print, true to size.",E_commerce/data/images/travel_mug_green_edition.jpg
109,Blue Chair Eco,Office,327.35,4.1,"Good value. Non-slip surface, excellent for yoga.",E_commerce/data/images/blue_chair_eco.jpg
110,Blue Keyboard Ultra,Sports,449.27,3.1,Good value. Inspirational and practical advice.,E_commerce/data/images/blue_keyboard_ultra.jpg
111,Ultra Backpack Series 953,Automotive,940.88,3.2,"Good value. Perfect length, material is soft.",E_commerce/data/images/ultra_backpack_series_953.jpg
112,Wooden SSD Eco,Health,27.56,3.3,"Well-balanced, good control.",E_commerce/data/images/wooden_ssd_eco.jpg
113,Puzzle Premium V5,Clothing,282.86,3.6,"Well-balanced, good control.",E_commerce/data/images/puzzle_premium_v5.jpg
114,Ultra Notebook - Orange Edition,Books,439.9,3.4,Recipes are simple and delicious. Would buy again.,E_commerce/data/images/ultra_notebook_orange_edition.jpg
115,Sneakers Classic S27,Beauty,31.59,3.0,"Beautiful print, true to size. Would buy again.",E_commerce/data/images/sneakers_classic_s27.jpg
116,Max Cookbook - Orange Edition,Automotive,535.81,2.7,"Good value. Comfortable fit, but color fades after wash.",E_commerce/data/images/max_cookbook_orange_edition.jpg
117,Travel Brown Backpack,Garden,540.57,3.8,Great support for long runs. Works well.,E_commerce/data/images/travel_brown_backpack.jpg
118,Power Bank Rugged X39,Automotive,316.05,3.9,Durable and easy to use in the garden. Would buy again.,E_commerce/data/images/power_bank_rugged_x39.jpg
119,Deluxe Nail Clippers Series 333,Pet Supplies,122.63,4.1,Loud and clear audio. Works well.,E_commerce/data/images/deluxe_nail_clippers_series_333.jpg
120,Ultra Watch Series 951,Beauty,28.35,5.0,Inspirational and practical advice.,E_commerce/data/images/ultra_watch_series_951.jpg
121,Vintage Router - Yellow Edition,Automotive,942.9,3.0,"Comfortable fit, but color fades after wash. Works well.",E_commerce/data/images/vintage_router_yellow_edition.jpg
122,Wireless Pillow - Red Edition,Automotive,497.72,4.5,Inspirational and practical advice. Works well.,E_commerce/data/images/wireless_pillow_red_edition.jpg
123,Action Figure Smart S50,Sports,326.11,4.0,Stylish and holds water well.,E_commerce/data/images/action_figure_smart_s50.jpg
124,Webcam Smart V10,Electronics,543.01,4.0,"Secure fit, lightweight. Works well.",E_commerce/data/images/webcam_smart_v10.jpg
125,Essential Beige Charger,Electronics,712.51,3.8,"Good value. Well-balanced, good control.",E_commerce/data/images/essential_beige_charger.jpg
126,Smart Silver Mat,Toys,63.82,4.2,"Non-slip surface, excellent for yoga.",E_commerce/data/images/smart_silver_mat.jpg
127,Blue Jeans Travel,Home & Garden,463.21,3.8,Good value. Blocks out all noise effectively.,E_commerce/data/images/blue_jeans_travel.jpg
128,Ultra Power Bank - Orange Edition,Electronics,654.65,4.1,"Powerful motor, mixes everything smoothly. Works well.",E_commerce/data/images/ultra_power_bank_orange_edition.jpg
129,Travel Helmet - Yellow Edition,Sports,463.9,3.2,Keeps me warm in winter.,E_commerce/data/images/travel_helmet_yellow_edition.jpg
130,Stand Wireless V5,Toys,130.31,3.8,"Beautiful print, true to size. Works well.",E_commerce/data/images/stand_wireless_v5.jpg
131,White Backpack Rugged,Pet Supplies,182.71,4.6,"Good value. Battery lasts all day, sleek design.",E_commerce/data/images/white_backpack_rugged.jpg
132,SSD Modern S41,Health,103.73,4.5,"Secure fit, lightweight.",E_commerce/data/images/ssd_modern_s41.jpg
133,Pen Advanced V23,Health,31.52,3.8,"Beautiful print, true to size. Works well.",E_commerce/data/images/pen_advanced_v23.jpg
134,Sofa Rugged X30,Sports,299.44,3.5,"Perfect length, material is soft. Works well.",E_commerce/data/images/sofa_rugged_x30.jpg
135,Comfort Sneakers - Black Edition,Automotive,111.8,4.1,"Good value. Secure fit, lightweight.",E_commerce/data/images/comfort_sneakers_black_edition.jpg
136,Performance Camera Series 481,Outdoors,546.64,4.0,Loud and clear audio.,E_commerce/data/images/performance_camera_series_481.jpg
137,Max Lens - Brown Edition,Beauty,193.24,3.9,Gripping story from start to finish. Would buy again.,E_commerce/data/images/max_lens_brown_edition.jpg
138,Green Monitor Ultra,Office,301.57,4.5,Kept me up all night reading. Works well.,E_commerce/data/images/green_monitor_ultra.jpg
139,Polyester Monitor Ultra,Garden,20.76,3.3,"Perfect length, material is soft. Highly recommended.",E_commerce/data/images/polyester_monitor_ultra.jpg
140,Leash Ultra V33,Electronics,676.34,3.2,Great support for long runs. Would buy again.,E_commerce/data/images/leash_ultra_v33.jpg
141,Ultra Pet Bed - Black Edition,Toys,93.16,3.5,Good value. Recipes are simple and delicious.,E_commerce/data/images/ultra_pet_bed_black_edition.jpg
142,White Mug Wireless,Automotive,386.81,3.8,Kept me up all night reading! Would buy again.,E_commerce/data/images/white_mug_wireless.jpg
143,Synthetic Blender Mini,Outdoors,55.48,3.8,Durable and easy to use in the garden. Would buy again.,E_commerce/data/images/synthetic_blender_mini.jpg
144,Toy Car Max X29,Garden,96.94,2.8,Good value. Recipes are simple and delicious.,E_commerce/data/images/toy_car_max_x29.jpg
145,Grey Sneakers Essential,Gaming,398.44,3.3,Loud and clear audio.,E_commerce/data/images/grey_sneakers_essential.jpg
146,Rugged Racket Series 240,Garden,420.68,2.7,"Secure fit, lightweight. Would buy again.",E_commerce/data/images/rugged_racket_series_240.jpg
147,Lite Air Fryer - Green Edition,Clothing,443.55,3.4,Recipes are simple and delicious. Works well.,E_commerce/data/images/lite_air_fryer_green_edition.jpg
148,Pro Grey Desk,Sports,99.89,4.8,"Amazing sound quality, worth every penny! Would buy again.",E_commerce/data/images/pro_grey_desk.jpg
149,Green Tent Eco,Automotive,583.54,2.9,Keeps me warm in winter. Works well.,E_commerce/data/images/green_tent_eco.jpg
150,Performance Puzzle Series 619,Sports,443.0,3.0,"Beautiful print, true to size. Works well.",E_commerce/data/images/performance_puzzle_series_619.jpg
151,Classic Sandals - Silver Edition,Pet Supplies,190.34,4.9,Loud and clear audio. Highly recommended.,E_commerce/data/images/classic_sandals_silver_edition.jpg
152,Essential Mascot - Yellow Edition,Clothing,385.85,4.3,Great support for long runs.,E_commerce/data/images/essential_mascot_yellow_edition.jpg
153,Cotton Blender Advanced,Pet Supplies,280.34,5.0,Good value. Inspirational and practical advice.,E_commerce/data/images/cotton_blender_advanced.jpg
154,Stainless Webcam Pro,Books,172.95,4.5,Good value. Kept me up all night reading!,E_commerce/data/images/stainless_webcam_pro.jpg
155,Gloves Travel X24,Gaming,281.39,3.2,"Powerful motor, mixes everything smoothly. Would buy again.",E_commerce/data/images/gloves_travel_x24.jpg
156,Compact Charger - Green Edition,Garden,184.43,3.8,"Good value. Battery lasts all day, sleek design.",E_commerce/data/images/compact_charger_green_edition.jpg
157,Cotton Brush Advanced,Beauty,131.5,4.1,Keeps me warm in winter. Highly recommended.,E_commerce/data/images/cotton_brush_advanced.jpg
158,Ultra Brown Puzzle,Clothing,294.4,4.0,"Even cooking, easy cleanup.",E_commerce/data/images/ultra_brown_puzzle.jpg
159,Yellow Camera Ultra,Automotive,543.58,3.6,Recipes are simple and delicious.,E_commerce/data/images/yellow_camera_ultra.jpg
160,Neoprene Lens Compact,Clothing,481.62,3.0,Blocks out all noise effectively. Highly recommended.,E_commerce/data/images/neoprene_lens_compact.jpg
161,Ultra Mixers - Pink Edition,Sports,485.4,4.3,"Non-slip surface, excellent for yoga. Works well.",E_commerce/data/images/ultra_mixers_pink_edition.jpg
162,Silver Camera Compact,Garden,477.32,3.5,"Beautiful print, true to size. Would buy again.",E_commerce/data/images/silver_camera_compact.jpg
163,Essential Silver Cushion,Automotive,330.01,4.0,"Even cooking, easy cleanup.",E_commerce/data/images/essential_silver_cushion.jpg
164,Pink Lantern Premium,Electronics,708.47,4.7,"Battery lasts all day, sleek design. Highly recommended.",E_commerce/data/images/pink_lantern_premium.jpg
165,Gold Headphones Performance,Toys,40.77,4.4,Keeps me warm in winter. Works well.,E_commerce/data/images/gold_headphones_performance.jpg
166,Lite Desk - White Edition,Garden,188.67,4.1,"Battery lasts all day, sleek design. Would buy again.",E_commerce/data/images/lite_desk_white_edition.jpg
167,Chair Ultra S22,Automotive,69.96,3.6,"Good value. Even cooking, easy cleanup.",E_commerce/data/images/chair_ultra_s22.jpg
168,Rugged Nail Clippers - Pink Edition,Automotive,957.95,3.8,Kept me up all night reading. Works well.,E_commerce/data/images/rugged_nail_clippers_pink_edition.jpg
169,Black Sleeping Bag Lite,Health,108.66,3.5,"Beautiful print, true to size. Would buy again.",E_commerce/data/images/black_sleeping_bag_lite.jpg
170,White Lantern Max,Outdoors,115.8,4.4,"Battery lasts all day, sleek design. Works well.",E_commerce/data/images/white_lantern_max.jpg
171,Modern Toy Car Series 263,Gaming,508.78,4.8,Recipes are simple and delicious. Highly recommended.,E_commerce/data/images/modern_toy_car_series_263.jpg
172,Essential Mouse - Blue Edition,Automotive,486.47,4.1,"Powerful motor, mixes everything smoothly. Highly recommended.",E_commerce/data/images/essential_mouse_blue_edition.jpg
173,Smart Silver Vacuum,Gaming,578.88,3.2,Good value. Gripping story from start to finish.,E_commerce/data/images/smart_silver_vacuum.jpg
174,Advanced Green Mascot,Outdoors,107.49,3.1,Loud and clear audio. Would buy again.,E_commerce/data/images/advanced_green_mascot.jpg
175,Ultra Purple Mat,Beauty,17.39,4.9,Good value. Keeps me warm in winter.,E_commerce/data/images/ultra_purple_mat.jpg
176,Urban Charger Series 727,Electronics,792.96,4.3,Loud and clear audio. Would buy again.,E_commerce/data/images/urban_charger_series_727.jpg
177,Performance Pink Power Bank,Garden,227.33,4.4,"Amazing sound quality, worth every penny! Would buy again.",E_commerce/data/images/performance_pink_power_bank.jpg
178,Smart Cookbook Series 838,Health,59.45,4.1,Kept me up all night reading! Highly recommended.,E_commerce/data/images/smart_cookbook_series_838.jpg
179,Eco HDD Series 212,Garden,195.08,2.8,"Powerful motor, mixes everything smoothly. Would buy again.",E_commerce/data/images/eco_hdd_series_212.jpg
180,Urban Leash - Gold Edition,Kitchen,113.9,3.6,Blocks out all noise effectively. Would buy again.,E_commerce/data/images/urban_leash_gold_edition.jpg
181,Premium Mug - Pink Edition,Toys,156.68,4.4,Stylish and holds water well. Would buy again.,E_commerce/data/images/premium_mug_pink_edition.jpg
182,Stainless Cushion Deluxe,Health,214.42,4.2,Blocks out all noise effectively. Works well.,E_commerce/data/images/stainless_cushion_deluxe.jpg
183,Smart Pillow Series 792,Outdoors,576.5,3.5,Gripping story from start to finish. Works well.,E_commerce/data/images/smart_pillow_series_792.jpg
184,Bamboo Hose Advanced,Gaming,934.36,4.1,"Well-balanced, good control. Would buy again.",E_commerce/data/images/bamboo_hose_advanced.jpg
185,Eco Brown Bottle,Home & Garden,78.11,3.7,Great support for long runs.,E_commerce/data/images/eco_brown_bottle.jpg
186,Compact Nail Clippers - Brown Edition,Outdoors,155.63,4.5,"Comfortable fit, but color fades after wash.",E_commerce/data/images/compact_nail_clippers_brown_edition.jpg
187,Modern Controller Series 840,Office,442.3,4.6,Blocks out all noise effectively. Highly recommended.,E_commerce/data/images/modern_controller_series_840.jpg
188,Cotton Keyboard Wireless,Gaming,298.87,3.8,Good value. Keeps me warm in winter.,E_commerce/data/images/cotton_keyboard_wireless.jpg
189,Leather Helmet Deluxe,Books,373.37,3.2,"Non-slip surface, excellent for yoga. Would buy again.",E_commerce/data/images/leather_helmet_deluxe.jpg
190,Leash Deluxe X28,Office,170.68,3.7,Good value. Great support for long runs.,E_commerce/data/images/leash_deluxe_x28.jpg
191,Cotton Lens Eco,Beauty,191.27,3.1,"Amazing sound quality, worth every penny. Works well.",E_commerce/data/images/cotton_lens_eco.jpg
192,Blue Router Essential,Office,208.65,3.8,"Non-slip surface, excellent for yoga.",E_commerce/data/images/blue_router_essential.jpg
193,Purple Cookbook Wireless,Office,232.94,4.6,Good value. Inspirational and practical advice.,E_commerce/data/images/purple_cookbook_wireless.jpg
194,Novel Vintage S6,Kitchen,323.79,4.2,"Even cooking, easy cleanup.",E_commerce/data/images/novel_vintage_s6.jpg
195,Polyester Pillow Vintage,Clothing,541.79,3.6,"Good value. Even cooking, easy cleanup.",E_commerce/data/images/polyester_pillow_vintage.jpg
196,Performance Sneakers Series 564,Sports,255.56,3.0,"Non-slip surface, excellent for yoga.",E_commerce/data/images/performance_sneakers_series_564.jpg
197,Smart Air Fryer Series 692,Toys,75.46,3.4,"Powerful motor, mixes everything smoothly. Works well.",E_commerce/data/images/smart_air_fryer_series_692.jpg
198,Travel Lens - Gold Edition,Gaming,877.06,3.8,Recipes are simple and delicious.,E_commerce/data/images/travel_lens_gold_edition.jpg
199,SSD Classic S28,Kitchen,277.91,3.5,Great support for long runs. Works well.,E_commerce/data/images/ssd_classic_s28.jpg
200,Max Silver Router,Home & Garden,159.59,2.9,"Secure fit, lightweight. Would buy again.",E_commerce/data/images/max_silver_router.jpg
201,Jacket Pro X15,Office,116.46,3.8,"Even cooking, easy cleanup. Works well.",E_commerce/data/images/jacket_pro_x15.jpg
202,Keyboard Urban V43,Automotive,244.41,3.7,"Even cooking, easy cleanup. Highly recommended.",E_commerce/data/images/keyboard_urban_v43.jpg
203,Mini Sneakers Series 452,Office,395.04,3.5,Great support for long runs. Works well.,E_commerce/data/images/mini_sneakers_series_452.jpg
204,Compact Novel - Pink Edition,Toys,37.43,3.8,"Good value. Powerful motor, mixes everything smoothly.",E_commerce/data/images/compact_novel_pink_edition.jpg
